title,published_at,content,url,source_name,domain,sub_domain,crawled_at
CATL joins OEMs to develop recyclable battery framework - electrive.com,2026-06-29,"Battery manufacturer CATL has joined forces with leading companies from the battery, technology and automotive sectors to establish the Global Energy Circular Economy Alliance in London. Founding members include CATL, BMW, Renault, Volvo, Google and Xiaomi. The alliance aims to develop common standards for battery designs that are easier to reuse and recycle, with CATL taking a central role as the key battery industry participant.
The founding members of the new alliance came together during London Climate Action Week to formally launch the initiative. Coordination of the Global Energy Circular Economy Alliance is being led by the Ellen MacArthur Foundation, while CATL assumes a central position within the group. The battery manufacturer has primarily partnered with vehicle makers in the alliance, putting it in a strong position to help shape future standards for battery design, recycling and supply chains.
More than a year ago,
CATL and the Ellen MacArthur Foundation launched the Global Energy Circularity Commitment (GECC),
a collaborative platform focused on advancing a circular economy for batteries. Speaking about the initiative at the IAA last year, Jiang Li said: “To make circularity real at scale, the industry needs clear standards and aligned policy and financial frameworks. With more partners joining us, we are working together to build an ecosystem that makes batteries more resilient, secure, and sustainable for the decades ahead.”
The newly established Global Energy Circular Economy Alliance will focus on scaling circular business models across the battery value chain. According to CATL, the initiative aims to develop common assessment standards for factors such as battery usage history, state of health, degradation and recycling responsibilities. The goal is to provide automotive manufacturers, logistics companies, investors and policymakers with a more consistent basis for evaluating battery value and operational risks.
The Ellen MacArthur Foundation will act as the alliance’s collaboration platform, facilitating cooperation between stakeholders across the supply chain and supporting the development of shared standards and best practices.
As its first major project, the alliance plans to develop a common framework for a battery circular economy. The resulting
Battery Circular Design Guide
is scheduled for publication in 2027 and will set out standardised criteria for areas such as diagnostic cell testing, easier battery pack disassembly and cell refurbishment. The partners also intend to define technical parameters that support structural assessments of battery-electric passenger cars and commercial vehicles.
(in Chinese)
about „CATL joins OEMs to develop recyclable battery framework“
Infrastructure",https://www.electrive.com/2026/06/29/catl-joins-oems-to-develop-recyclable-battery-framework/,electrive,电池,电气化交通工具,2026-06-29T16:54:57+00:00
"Debate opens up as GM bets on sodium, Ford on China – Batteries International",2026-06-29,"Energy Storage, News, Other Chemistries
Debate opens up as GM bets on sodium, Ford on China
–  June 29, 2026 04:35 pm BST
Credit: Adobestock
General Motors announced on June 7 it is to partner Peak Energy on domestically manufactured sodium-ion batteries for grid-scale energy storage. The decision may prove to be about far more than battery chemistry.
At first glance, the announcement is a technology story. GM and Peak Energy will work together to develop sodium-ion battery systems for stationary energy storage, with development work centred around GM’s battery facilities in Michigan and commercial production targeted for 2028.
But beneath the chemistry lies the question bugging the US battery industry: how can American companies build competitive battery supply chains while reducing their dependence on China?
The answer is becoming increasingly important as battery manufacturers, automakers and energy storage developers grapple with evolving Foreign Entity of Concern (FEOC) rules, domestic-content requirements and growing geopolitical uncertainty.
In many ways, GM and Ford have arrived at very different answers to the same question.
Ford has been the nimbler to act. Ford Energy, a wholly owned subsidiary of the automaker, recently signed a five-year framework agreement with EDF Power Solutions for up to 20GWh of battery energy storage systems.
The company plans to repurpose former electric vehicle battery manufacturing capacity in Kentucky to build standardized energy storage systems for utilities, data centres and industrial customers.
The technology at the heart of that strategy is lithium iron phosphate (LFP), licensed from Chinese battery giant CATL.
Ford originally announced plans for its CATL-based LFP manufacturing strategy in February 2023, arguing that the arrangement would allow the company to bring proven, lower-cost battery technology to the US market while retaining ownership of domestic manufacturing facilities.
It is the fast-to-market route: established chemistry, proven manufacturing processes and a technology platform that has already been deployed at scale around the world.
GM is taking a different path. Rather than relying on a mature battery technology developed elsewhere, the company is backing an emerging chemistry that many believe could become a major player in stationary storage over the next decade.
Peak Energy believes sodium-ion’s greatest opportunity lies not simply in replacing lithium-ion cells but in redesigning the architecture of battery energy storage systems.
Founded by industry veterans from Tesla, Enovix and Apple, the company has developed a battery energy storage system based on a fully passive cooling design. According to Peak, the technology eliminates many of the components required in conventional lithium-ion installations, reducing complexity while improving safety.
Unlike most lithium-ion systems, which rely on active thermal management systems involving pumps, cooling circuits and monitoring equipment, Peak says its sodium-ion architecture can operate without active cooling. The result is fewer moving parts, lower maintenance requirements and reduced operational costs over the system’s lifetime.
The company also argues that sodium-ion batteries experience less degradation than many lithium-based chemistries when deployed in stationary applications. This can potentially translate into longer service life and lower operating and maintenance costs for utilities and storage developers.
Peak has previously claimed that its design could reduce lifetime project costs by more than $100 million for a typical utility-scale deployment. While such projections remain to be demonstrated at commercial scale, they illustrate the economic potential supporters see in sodium-ion technology.
There are other attractions too. Sodium-ion batteries avoid many of the critical mineral concerns associated with lithium, nickel and cobalt supply chains and are potentially less exposed to the supply-chain dominance China currently enjoys in lithium-ion manufacturing.
For grid-scale storage applications, where weight and energy density are less critical than cost, safety and durability, sodium-ion’s limitations become far less important.
The FEOC factor
The timing of GM’s announcement is particularly significant because of the growing influence of FEOC regulations.
Designed to reduce US dependence on Chinese-controlled supply chains, FEOC rules are becoming increasingly important for companies seeking access to federal incentives, manufacturing credits and other support mechanisms created under recent industrial policy initiatives.
The precise interpretation of FEOC requirements continues to evolve, but the direction of travel is clear: policymakers want more battery manufacturing, more battery technology and more battery supply chains located within the United States or allied countries.
That has created a strategic challenge for companies relying on Chinese technology.
Ford’s CATL arrangement was carefully structured as a licensing agreement rather than a joint venture. Nevertheless, projects linked to Chinese intellectual property, equipment or supply chains continue to attract political scrutiny as FEOC guidance develops.
That distinction could become increasingly important as energy storage developers, utilities and financiers seek certainty around future regulatory compliance.
Viewed through that lens, the real distinction between Ford and GM is not chemistry but risk allocation.
Ford has chosen execution certainty. Its CATL-derived LFP technology is proven, widely deployed and supported by one of the world’s largest battery manufacturers. The strategy minimizes technical risk and should help accelerate commercial deployment.
However, it may leave Ford more exposed to future questions surrounding FEOC regulations, domestic-content requirements and dependence on Chinese intellectual property.
GM’s strategy carries a different set of risks. Sodium-ion remains relatively unproven at utility scale and must still demonstrate long-term performance, degradation characteristics and commercial competitiveness over the 15- to 20-year operating lives expected by grid operators and infrastructure investors.
Yet if successful, it could provide a more resilient domestic supply chain with reduced exposure to lithium markets and Chinese manufacturing dominance.
Importantly, GM is not abandoning lithium-ion altogether. The company continues to pursue LFP production for energy storage through its Ultium Cells partnership with LG Energy Solution, effectively hedging its bets while sodium-ion technology matures.
The wider industry is watching closely. A growing number of energy storage developers have sought to diversify supply chains and reduce reliance on Chinese imports, although most continue to depend heavily on lithium-ion technology.
At the same time, several sodium-ion developers in North America and Europe are positioning their technologies as alternatives to China’s dominance of battery materials and manufacturing.
Whether sodium-ion ultimately fulfils those expectations remains uncertain. What is clear is that utilities, data-centre operators and project financiers are increasingly evaluating battery systems through a broader lens than simple chemistry.
The critical questions are becoming: will the technology be available when required, qualify for incentives, comply with regulations, carry bankable warranties and remain financeable throughout its operating life?
Those are the factors that determine which technologies succeed and which fail.
Chemistry may grab the headlines. But for the customers writing the cheques, bankability remains the deciding factor.
IMAGE CREDITS: Adobestock",https://www.batteriesinternational.com/news/debate-opens-up-as-gm-bets-on-sodium-ford-on-china/,Batteries International,电池,无,2026-06-29T16:55:08+00:00
EU reaches landmark deal on tougher cobalt exposure rules – Batteries International,2026-06-29,"Lithium, News
EU reaches landmark deal on tougher cobalt exposure rules
–  June 29, 2026 04:32 pm BST
The European Commission, the civil service arm of the EU, has welcomed a provisional agreement between the European Parliament and the Council on tougher workplace exposure limits for cobalt and other hazardous chemicals, marking a significant step towards new safety rules for Europe’s battery manufacturing sector.
The agreement, on June 23, forms the sixth revision of the EU’s Carcinogens, Mutagens and Reprotoxic Substances Directive (CMRD), introducing stricter occupational exposure limits for cobalt and inorganic cobalt compounds, alongside new measures covering polycyclic aromatic hydrocarbons (PAHs), 1,4-dioxane, isoprene and welding fumes.
For the battery industry, the most significant changes relate to cobalt compounds, which are widely used in EV battery manufacture. The revised directive introduces occupational exposure limits for both inhalable and respirable cobalt particles, while allowing manufacturers a six-year transition period to adapt production processes and technologies before the stricter standards take full effect.
PAHs, which are encountered in steel, aluminium and battery materials production, will also be subject to tighter exposure limits, although affected industries will benefit from a seven-year transitional period. Welding fumes have also been formally brought within the scope of the Directive for the first time, strengthening employers’ obligations to protect workers from exposure.
According to the EU, once formally adopted, the revised legislation could prevent around 1,700 cases of lung cancer and 19,000 work-related illnesses over the next 40 years, while delivering an estimated €1.16 billion in healthcare savings.
The Commission first proposed the revisions in July 2025 following consultations with scientific experts, industry representatives and social partners. The agreed text must now be formally approved by the European Parliament and the Council before member states transpose the revised Directive into national law.",https://www.batteriesinternational.com/news/eu-reaches-landmark-deal-on-tougher-cobalt-exposure-rules/,Batteries International,电池,无,2026-06-29T16:55:09+00:00
CAA warns of huge aviation fire risk – Batteries International,2026-06-29,"Lithium, News
CAA warns of huge aviation fire risk
–  June 29, 2026 04:20 pm BST
More than 100 million lithium batteries have been packed incorrectly in airline passengers’ checked luggage, prompting a new safety campaign warning the devices could pose a potentially deadly fire risk if transported improperly.
The campaign, launched by the UK Civil Aviation Authority (CAA) on June 26, comes as regulators warn that incorrectly packed rechargeable lithium batteries can trigger thermal runaway, creating fires that may be impossible to contain in an aircraft’s cargo hold.
The CAA’s ‘Pack Right. Safe Flight.’ campaign urges passengers to carry rechargeable lithium batteries — including power banks, mobile phones, laptops and vapes — in their cabin baggage rather than checked luggage. Travellers are also advised not to charge power banks during flights and to ensure laptops are completely switched off if placed in checked baggage.
According to the regulator, incidents involving overheating or malfunctioning lithium battery-powered devices are occurring at an average rate of around two per week. Reports of overheating or malfunctioning passenger devices nearly doubled between 2024 and 2025, while incidents involving incorrectly packed lithium battery devices increased by 91% over the same period.
The CAA estimates the average airline passenger now travels with four lithium battery-powered devices, meaning a fully loaded Airbus A380 could be carrying more than 2,000 such devices on a single flight. However, research commissioned by the regulator found that 36% of passengers remain unaware that rechargeable lithium batteries should not be packed in checked luggage.
The concern extends beyond the UK. In the US, the Federal Aviation Administration (FAA) recorded 95 verified lithium battery incidents involving smoke, fire or extreme heat on aircraft during 2025. The FAA says thermal runaway can occur if a battery is damaged, overheated, exposed to water, overcharged or improperly packed, although manufacturing defects can also trigger the process.
Giancarlo Buono, the CAA’s group director of safety and airspace regulation, said: “Flying is by far the safest way to travel, and we want to keep it that way. Pack right for a safe flight, and that means don’t put your batteries in your checked bag. Take them into the cabin with you.”
The campaign highlights the growing focus on lithium battery safety across the aviation sector as increasing numbers of passengers travel with battery-powered electronic devices and portable energy storage products.
Photo: Adobestock",https://www.batteriesinternational.com/news/over-100m-lithium-batteries-packed-incorrectly-as-aviation-regulator-warns-of-fire-risk/,Batteries International,电池,无,2026-06-29T16:55:11+00:00
Zesar Battery Technologies secures Algeria supply agreement – Batteries International,2026-06-29,"Corporate, Lead, News
Zesar Battery Technologies secures Algeria supply agreement
–  June 29, 2026 04:14 pm BST
Credit: LinkedIn
Zesar Battery Technologies has signed a new contract with Algerian customer Sarl Bergan Energy, further strengthening its presence in the North African energy market.
Zesar announced the agreement last week, describing it as another milestone in its long-term relationship with Sarl Bergan Energy. Details of the contract, including its value and scope, were not disclosed.
Founded in 1976, the Turkish company is one of Europe’s established suppliers of battery manufacturing equipment and turnkey production technology. Over the past two decades, Zesar has developed a range of proprietary production systems, including its Evoline assembly line and Robotic Transfer System (RTS), designed to automate battery manufacturing and improve production efficiency.
In announcing the agreement, Zesar thanked Sarl Bergan Energy representatives Chafika Sabeki, Ilyes Bakiri, Slimane Rechoum and Aissa Omarouyoub for their support throughout the negotiations and said it looked forward to delivering the project successfully.
The contract comes as Algeria continues to expand its industrial manufacturing ambitions, including investment in battery production and energy storage technologies, creating new opportunities for equipment suppliers serving emerging markets.",https://www.batteriesinternational.com/news/zesar-battery-technologies-secures-algeria-supply-agreement/,Batteries International,电池,无,2026-06-29T16:55:13+00:00
Battery storage reshapes pattern of lithium demand – Batteries International,2026-06-29,"Energy Storage, Lithium, News
Battery storage reshapes pattern of lithium demand
–  June 29, 2026 04:10 pm BST
Rapid growth in battery energy storage systems (BESS) is reshaping global lithium demand, providing producers with a fresh source of growth as the market adapts to more moderate expansion in EV sales.
Industry executives speaking at the Fastmarkets Global Lithium, Battery & Critical Materials conference in Las Vegas last week said stationary energy storage is emerging as one of the lithium market’s most important demand drivers, fuelled by investment in grid infrastructure, renewable energy projects and the increasing power needs of artificial intelligence.
Raju Daswani, chief executive of consultancy Fastmarkets, said demand for lithium used in BESS is growing by around 40% annually.
“The period of market overcorrection is over,” he said. “Energy storage has become a primary driver of growth in this market.”
The growing importance of stationary storage marks a significant shift for the lithium sector, which has traditionally relied on EVs as its principal source of demand. After a prolonged period of oversupply and weaker EV sales in some regions pushed lithium prices sharply lower, expanding investment in grid-scale battery storage is helping restore confidence across the industry.
The trend is also reflected in recent market forecasts, which predict continued strong growth in lithium-ion battery demand, driven not only by EVs but also by accelerating deployment of BESS and renewable energy projects worldwide. Analysts expect the expansion of renewable energy generation, grid modernisation and increasing demand for large-scale energy storage to become key drivers of lithium-ion battery consumption over the coming decade.
Rio Tinto’s head of aluminium and lithium, Jérôme Pécresse, said lithium demand over the next two years is expected to become more evenly balanced between EVs and energy storage as the company continues to expand its production capacity.
Albemarle, the world’s largest lithium producer, also highlighted the growing importance of stationary storage. Chief commercial officer Eric Norris said grid-scale battery storage was providing a more geographically diverse source of demand than electric vehicles.
“Grid storage is much more evenly distributed around the world,” he said. “It’s an interesting demand driver.”
Despite the improving outlook, producers continued to call for greater government support for lithium processing outside China, arguing that stronger policy backing will be needed to build resilient critical minerals supply chains as global demand for batteries continues to grow.",https://www.batteriesinternational.com/news/battery-storage-reshapes-pattern-of-lithium-demand/,Batteries International,电池,无,2026-06-29T16:55:14+00:00
Lithium shortages loom as investment drought threatens EV ambitions – Batteries International,2026-06-29,"Lithium, News
Lithium shortages loom as investment drought threatens EV ambitions
–  June 29, 2026 04:07 pm BST
Warnings are mounting that the lithium battery industry could be heading towards a supply crunch by the end of the decade, despite a dramatic recovery in prices over the past year, according to a recent report by Sana Ur Rehman, financial market analyst for EBC Financial Group.
Analysts now believe the biggest challenge facing the battery sector is not today’s market conditions but the consequences of a prolonged investment slowdown that followed lithium’s spectacular price collapse between 2023 and 2025.
According to forecasts from Wood Mackenzie, supply deficits could emerge as early as 2028, raising concerns about battery costs, EV affordability and the pace of the global energy transition.
The roots of the problem lie in lithium carbonate’s collapse from around $64,000 per tonne in late 2022 to less than $10,000 per tonne by mid-2025, says Sana. While the crash eliminated oversupply, it also discouraged companies from approving the billion-dollar investments needed to develop new mines.
Today, prices have recovered sharply, reaching around $24,700 per tonne in China, but the damage to the future supply pipeline has already been done.
A new lithium project typically takes five to seven years to move from final investment decision to commercial production. That means mines needed to supply the market between 2028 and 2030 should have been approved during the 2023-2025 period. Instead, many projects were delayed, suspended or abandoned as developers struggled to justify investment at depressed prices.
Major producers cut spending aggressively. Albemarle mothballed part of its Kemerton operation in Australia and reduced capital expenditure, while Core Lithium suspended production at its Finniss mine for 18 months. Across South America, development-stage projects were deferred as investors stepped back from the sector.
Although some idled operations are now restarting, industry experts warn that bringing existing mines back online is not enough to close the anticipated supply gap.
The concern is that demand growth continues to accelerate. Global EV sales rose 22% in 2025, while demand for battery energy storage systems is also expanding rapidly.
Analysts estimate that EV batteries alone will require around 3 million tonnes of lithium carbonate equivalent annually by 2030 — that’s double current global supply levels.
Governments are already responding to concerns about future scarcity. The US launched its $12 billion Project Vault strategic minerals initiative earlier this year, while Zimbabwe accelerated a ban on raw lithium concentrate exports in a move designed to encourage domestic processing.
Such actions underline growing concerns over supply security and access to critical minerals.
BloombergNEF estimates battery pack prices averaged $108/kWh in 2025, helping bring electric vehicles closer to price parity with conventional cars. However, analysts now warn that sustained lithium shortages could push raw material costs sharply higher, reversing years of battery cost reductions. Research by the International Council on Clean Transportation suggests that a severe mineral price shock could delay EV price parity in the US by two to three years.
For the battery industry, the challenge is now clear reckons Sana. Restarting mothballed capacity may provide short-term relief, but it will not solve the structural shortage expected later this decade.
Without rapid investment in new projects, the lithium required to support global EV and energy storage ambitions may simply not arrive in time.
Photo: Adobestock",https://www.batteriesinternational.com/news/lithium-shortages-loom-as-investment-drought-threatens-ev-ambitions/,Batteries International,电池,无,2026-06-29T16:55:16+00:00
BESS gathers pace as Germany leads utility-scale surge – Batteries International,2026-06-29,"Energy Storage, News
BESS gathers pace as Germany leads utility-scale surge
–  June 29, 2026 04:05 pm BST
Credit: AdobeStock
Europe’s battery energy storage market is set for rapid expansion over the remainder of the decade, with Germany reporting a sharp increase in large-scale installations as new figures point to accelerating deployment across the continent.
Data published by the German Solar Industry Association (BSW-Solar) shows around 225,000 battery storage systems with a combined capacity of 3.4GWh were installed in Germany between January and May 2026 — a 70% increase on the same period in 2025.
The growth was driven by utility-scale projects, which accounted for 1.47GWh of new capacity, more than four times the level recorded a year earlier and overtaking residential battery installations.
The findings coincide with the publication of SolarPower Europe’s
European Battery Market Outlook 2026–2030
on June 23, which forecasts annual battery storage installations across Europe will accelerate sharply by 2030, with utility-scale systems expected to become the dominant market segment as countries expand renewable energy generation and seek greater grid flexibility.
According to the report, the EU’s total battery storage capacity is projected to increase from 77GWh at the end of 2025 to around 470GWh by 2030. While this would represent significant growth, it remains below the estimated 600GWh needed to meet the bloc’s energy security, competitiveness and climate objectives.
Across Europe, including the EU, UK, Switzerland, Ukraine and Turkey, 36GWh of new battery storage capacity was installed in 2025, a 48% increase on 2024. Utility-scale projects are expected to account for around 75% of annual installations by 2030, compared with 53% in 2025.
BSW-Solar said battery storage is becoming increasingly important for integrating renewable energy into Germany’s electricity network by storing surplus solar and wind generation, easing grid congestion and reducing the need for costly interventions in the power system.
The association also highlighted growing demand for storage as delays to grid expansion make it more difficult for new solar parks to operate profitably without co-located batteries. Around two-thirds of solar parks planned in Germany over the next two years are expected to include battery storage.
BSW-Solar chief executive Carsten Körnig welcomed what he described as a battery storage boom but warned that continued growth will depend on faster grid connection procedures and greater regulatory certainty.
A study by consultancy Enervis suggests Germany could add as little as 15GWh of large-scale battery storage capacity by 2029 under less favourable conditions, despite projects totalling around 58GWh currently being planned. According to Körnig, lengthy grid connection processes and regulatory uncertainty could delay or prevent many of those projects from being built.",https://www.batteriesinternational.com/news/bess-gathers-pace-as-germany-leads-utility-scale-surge/,Batteries International,电池,无,2026-06-29T16:55:18+00:00
PNNL prismatic battery line boost for energy storage innovation – Batteries International,2026-06-29,"Energy Storage, News
PNNL prismatic battery line boost for energy storage innovation
–  June 29, 2026 03:55 pm BST
South Korea’s Energy Tech Solution has installed a prismatic battery assembly line at the Pacific Northwest National Laboratory in the US.
Energy Tech said on June 8 the installation of the 16-piece line, at the lab’s Grid Storage Launchpad (GSL), would boost advanced battery manufacturing and help US innovators get to market faster.
Following on-site training, PNNL is now the only Department of Energy lab capable of fabricating batteries with a prismatic architecture, Energy Tech said.
GSL is a $75 million research facility, funded by the Department of Energy’s Office of Electricity, focused on creating batteries and energy storage technologies that are critical to support a reliable, affordable, secure, and resilient electrical grid.
The GSL brings all phases of the battery development and deployment cycle under one roof ― ranging from fundamental materials and device prototyping to 100kW-scale testing and validation.
Energy Tech said fast prototyping and comprehensive testing of the entire energy storage development cycle are features not found anywhere else within the national laboratory system.
The new line, which includes slurry mixing, cell assembly, electrolyte filling and quality control, will be used for both Department of Energy research projects and contract work on behalf of industry partners.
Energy Tech, in addition to its 30 years of experience making factory equipment, recently unveiled its Made in America Cell Foundry ― a collaboration with the University of Michigan.
PNNL, operated by Battelle, advances chemistry, Earth sciences, data analytics, and biology to strengthen energy resilience, enhance national security, and further scientific discovery.
Last year, PNNL won BCI’s annual innovation
Batteries International
on June 20 that PNNL and Sandia National Laboratories had become the latest members of Battery Council International, joining under a new public benefit membership category.",https://www.batteriesinternational.com/news/pnnl-prismatic-battery-line-boost-for-energy-storage-innovation/,Batteries International,电池,无,2026-06-29T16:55:19+00:00
Ireland’s Net Zero Energy in €2bn renewables-to-hydrogen ESS project – Batteries International,2026-06-29,"Energy Storage, News
Ireland’s Net Zero Energy in €2bn renewables-to-hydrogen ESS project
–  June 29, 2026 03:52 pm BST
Credit: LinkedIn
Ireland has unveiled plans for a €2 billion ($2.3bn) long duration energy storage facility that will use excess renewable energy to generate green hydrogen and provide electricity.
The project will use surplus renewable energy generated off-site, which Irish company Net Zero Energy (NZE) said is being lost as a result of lack of demand at certain times and inadequate grid capacity to absorb power.
NZE said on June 8, the 600MW facility, the Rathrush Green Energy Park that the surplus wind and solar energy will not be stored directly in batteries but converted into green hydrogen ― which will then be compressed and pumped deep underground in specially lined rock caverns. This can then be delivered into the national grid providing backup when the need arises and combating the issue of renewable energy intermittency.
NZE chairman Tim Cowhig said: “By making available 600MW of renewable energy at the flick of a switch, this project can satisfy as much as 10% of Ireland’s peak energy requirement.
“Ireland has never been in such a precarious position in terms of our energy security. We spend €10 billion annually importing fossil fuels. This project is particularly timely with widespread debate and focus on Ireland’s climate change targets and the enormous, subsequent fines which would result if we fail to meet them.”",https://www.batteriesinternational.com/news/irelands-net-zero-energy-in-e2bn-renewables-to-hydrogen-ess-project/,Batteries International,电池,无,2026-06-29T16:55:21+00:00
